Release date;Season;Episode;Title;Duration in minutes;U.S. viewers in millions;IMDB Rating;Director
20.01.2008;1;1;Pilot;58;1,41;9;Vince Gilligan
27.01.2008;1;2;Cat's in the Bag...;48;1,49;8,6;Adam Bernstein
10.02.2008;1;3;...And the Bag's in the River;48;1,08;8,7;Adam Bernstein
17.02.2008;1;4;Cancer Man;48;1,09;8,2;Jim McKay
24.02.2008;1;5;Gray Matter;48;0,97;8,3;Tricia Brock
02.03.2008;1;6;Crazy Handful of Nothin';48;1,07;9,3;Bronwen Hughes
09.03.2008;1;7;A No-Rough-Stuff-Type Deal;48;1,5;8,8;Tim Hunter
08.03.2009;2;1;Seven Thirty-Seven;47;1,66;8,6;Bryan Cranston
15.03.2009;2;2;Grilled;46;1,6;9,3;Charles Haid
22.03.2009;2;3;Bit by a Dead Bee;47;1,13;8,3;Terry McDonough
29.03.2009;2;4;Down;47;1,29;8,2;John Dahl
05.04.2009;2;5;Breakage;47;1,21;8,3;Johan Renck
12.04.2009;2;6;Peekaboo;47;1,41;8,8;Peter Medak
19.04.2009;2;7;Negro y Azul;47;N/A;8,6;Félix Enríquez Alcalá
26.04.2009;2;8;Better Call Saul;47;1,04;9,2;Terry McDonough
03.05.2009;2;9;4 Days Out;47;N/A;9,1;Michelle MacLaren
10.05.2009;2;10;Over;47;N/A;8,5;Phil Abraham
17.05.2009;2;11;Mandala;47;N/A;8,9;Adam Bernstein
24.05.2009;2;12;Phoenix;47;N/A;9,3;Colin Bucksey
31.05.2009;2;13;ABQ;48;1,5;9,2;Adam Bernstein
21.03.2010;3;1;No Mï¿½s;47;1,95;8,5;Bryan Cranston
28.03.2010;3;2;Caballo sin Nombre;47;1,55;8,6;Adam Bernstein
04.04.2010;3;3;I.F.T.;47;1,33;8,4;Michelle MacLaren
11.04.2010;3;4;Green Light;47;1,46;8,2;Scott Winant
18.04.2010;3;5;Mï¿½s;47;1,61;8,5;Johan Renck
25.04.2010;3;6;Sunset;47;1,64;9,3;John Shiban
02.05.2010;3;7;One Minute;47;1,52;9,6;Michelle MacLaren
09.05.2010;3;8;I See You;47;1,78;8,7;Colin Bucksey
16.05.2010;3;9;Kafkaesque;47;1,61;8,4;Michael Slovis
23.05.2010;3;10;Fly;47;1,2;7,8;Rian Johnson
30.05.2010;3;11;Abiquiu;47;1,32;8,4;Michelle MacLaren
06.06.2010;3;12;Half Measures;47;1,19;9,5;Adam Bernstein
13.06.2010;3;13;Full Measure;47;1,56;9,6;Vince Gilligan
17.07.2011;4;1;Box Cutter;48;2,58;9,2;Adam Bernstein
24.07.2011;4;2;Thirty-Eight Snub;60;1,97;8,2;Michelle MacLaren
31.07.2011;4;3;Open House;47;1,71;8;David Slade
07.08.2011;4;4;Bullet Points;47;1,83;8,6;Colin Bucksey
14.08.2011;4;5;Shotgun;47;1,75;8,6;Michelle MacLaren
21.08.2011;4;6;Cornered;47;1,67;8,4;Michael Slovis
28.08.2011;4;7;Problem Dog;47;1,91;8,8;Peter Gould
04.09.2011;4;8;Hermanos;47;1,98;9,2;Johan Renck
11.09.2011;4;9;Bug;47;1,89;8,8;Terry McDonough
18.09.2011;4;10;Salud;47;1,8;9,6;Michelle MacLaren
25.09.2011;4;11;Crawl Space;45;1,55;9,7;Scott Winant
02.10.2011;4;12;End Times;47;1,73;9,5;Vince Gilligan
09.10.2011;4;13;Face Off;51;1,9;9,9;Vince Gilligan
15.07.2012;5;1;Live Free or Die;43;2,93;9,2;Michael Slovis
22.07.2012;5;2;Madrigal;48;2,29;8,8;Michelle MacLaren
29.07.2012;5;3;Hazard Pay;48;2,2;8,8;Adam Bernstein
05.08.2012;5;4;Fifty-One;48;2,29;8,8;Rian Johnson
12.08.2012;5;5;Dead Freight;48;2,48;9,7;George Mastras
19.08.2012;5;6;Buyout;48;2,81;9;Colin Bucksey
26.08.2012;5;7;Say My Name;48;2,98;9,5;Thomas Schnauz
02.09.2012;5;8;Gliding Over All;48;2,78;9,6;Michelle MacLaren
11.08.2013;5;9;Blood Money;48;5,92;9,4;Bryan Cranston
18.08.2013;5;10;Buried;48;4,77;9,2;Michelle MacLaren
25.08.2013;5;11;Confessions;48;4,85;9,6;Michael Slovis
01.09.2013;5;12;Rabid Dog;48;4,41;9,1;Sam Catlin
08.09.2013;5;13;To'hajiilee;47;5,11;9,8;Michelle MacLaren
15.09.2013;5;14;Ozymandias;48;6,37;10;Rian Johnson
22.09.2013;5;15;Granite State;55;6,58;9,7;Peter Gould
29.09.2013;5;16;Felina;55;10,28;9,9;Vince Gilligan
